ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Braddon,Forth,680 Forth Rd,,Forth,TAS,7315,,,Assistance,,-41.18916759,146.248552,Forth Town Hall
,Braddon,Gawler,15 Top Gawler Rd,,Gawler,TAS,7315,,,Assistance,,-41.18548,146.16007,Gawler Hall
,Braddon,Grassy,6 Fern Tree Dr,,Grassy,TAS,7256,,,Assistance,,-40.04806384,144.0508167,Grassy Fire Station
,Braddon,Havenview,15 Marriott St,,Havenview,TAS,7320,Multipurpose room/hall,,Assistance,,-41.08346,145.91081,Havenview Primary School
,Braddon,Heybridge,1 Sice Ave,,Heybridge,TAS,7316,,,Assistance,,-41.07515,145.98616,Blythe Heads Hall
,Braddon,Highclere,1558 Ridgley Hwy,,Highclere,TAS,7321,Front of hall,,None,,-41.19046,145.8061,Highclere Function Centre
,Braddon,Irishtown,602 Irishtown Rd,,Irishtown,TAS,7330,,,Assistance,,-40.91220617,145.1442312,Irishtown Community Centre
,Braddon,Latrobe,23 Lewis St,,Latrobe,TAS,7307,Enrichment Centre,Access from Bradshaw St,Assistance,,-41.23912,146.41612,Latrobe Primary School
,Braddon,Marrawah,844 Comeback Rd,,Marrawah,TAS,7330,,,Assistance,,-40.92299,144.69693,Marrawah Memorial Hall
,Braddon,Melrose,673 Melrose Rd,,Melrose,TAS,7310,,,Assistance,,-41.24115487,146.2884587,Melrose Memorial Hall
,Braddon,Montello,83 Bird St,,Montello,TAS,7320,Hall,,Assistance,,-41.05996,145.89764,Montello Primary School
,Braddon,Moorleah,720 Preolenna Rd,,Moorleah,TAS,7321,Main hall,,Assistance,,-40.98099,145.61629,Moorleah Community Centre
,Braddon,Natone,100 Upper Natone Rd,,Natone,TAS,7321,Front entrance foyer,,Assistance,,-41.17022,145.92209,Natone Primary School
,Braddon,North Motton,578 Preston Rd,,North Motton,TAS,7315,,,Assistance,,-41.20705,146.10952,North Motton Hall
,Braddon,Penguin,50 Main Rd,,Penguin,TAS,7316,,,Assistance,,-41.11192,146.07072,Penguin Uniting Church Hall
,Braddon,Port Sorell,Cnr Darling and Meredith Sts,,Port Sorell,TAS,7307,,,Assistance,,-41.16525,146.5558,Port Sorell Memorial Hall
,Braddon,Queenstown,53 Orr St,,Queenstown,TAS,7467,,,Assistance,,-42.080415,145.557426,Queenstown Memorial Hall
,Braddon,Riana,1225 Pine Rd,,Riana,TAS,7316,Hall,,None,,-41.2022834,145.9993611,Riana Primary School
,Braddon,Ridgley,904 Ridgley Hwy,,Ridgley,TAS,7321,Multipurpose room,,Assistance,,-41.13937,145.83787,Ridgley Primary School
,Braddon,Rocky Cape,19074 Bass Hwy,,Rocky Cape,TAS,7321,Supper room,,Assistance,,-40.90489,145.48664,Rocky Cape Public Hall
,Braddon,Romaine,Cnr Roslyn Ave and Mount St,,Romaine,TAS,7320,Multipurpose room,,Assistance,,-41.07761,145.90144,Romaine Park Primary School
,Braddon,Rosebery,8 Agnes St,,Rosebery,TAS,7470,Back room,Entrance via carpark,Assistance,,-41.78006,145.53919,Rosebery Neighbourhood Centre
,Braddon,Sassafras,50 School Rd,,Sassafras,TAS,7307,Gym/hall,,Assistance,,-41.28689,146.50295,Sassafras Primary School
,Braddon,Shorewell Park,41-43 Mooreville Rd,,Shorewell Park,TAS,7320,Cafeteria K Block,,Assistance,,-41.06122,145.88163,Hellyer College
,Braddon,Sisters Beach,Honeysuckle Ave,,Sisters Beach,TAS,7325,,,None,,-40.91818,145.56498,Sisters Beach Fire Station
,Braddon,Sisters Creek,Myalla Recreation Ground,29 Myalla Rd,Sisters Creek,TAS,7325,,,Assistance,,-40.964713,145.573222,Myalla Community Centre
,Braddon,Smithton,27- 43 Grant St,,Smithton,TAS,7330,Assembly hall,,Assistance,,-40.84289,145.12672,Smithton Primary School
,Braddon,Somerset,30A Beaufort St,,Somerset,TAS,7322,Multipurpose room,,Assistance,,-41.03815,145.82063,Somerset Primary School
,Braddon,South Riana,776 South Riana Rd,,South Riana,TAS,7316,,,Assistance,,-41.23446,145.97709,South Riana Hall
,Braddon,Sprent,1245 Castra Rd,,Sprent,TAS,7315,Main hall,,Assistance,,-41.26221,146.15948,Sprent Primary School
,Braddon,Spreyton,1 Mersey Main Rd,,Spreyton,TAS,7310,Multipurpose room,,Assistance,,-41.21202,146.34454,Spreyton Primary School
,Braddon,Stanley,Wilson St,,Stanley,TAS,7330,Multipurpose room,Access from Pearse St,Assistance,,-40.7595,145.29099,Stanley Primary School
,Braddon,Stowport,580 Stowport Rd,,Stowport,TAS,7321,Main area,,Assistance,,-41.11224,145.92863,Stowport Public Hall
,Braddon,Strahan,2 Bay St,,Strahan,TAS,7468,Hall,,Assistance,,-42.153392,145.320432,Strahan Primary School
,Braddon,Sulphur Creek,310 Preservation Dr,,Sulphur Creek,TAS,7316,Kitchen,,Assistance,,-41.09328,146.02373,Sulphur Creek Hall
,Braddon,Tullah,24 Farrell St,,Tullah,TAS,7321,,,Assistance,,-41.73767801,145.6163906,Tullah Town Hall
,Braddon,Turners Beach,Henry St,,Turners Beach,TAS,7315,Main hall,,Assistance,,-41.15871,146.2447,Turners Beach Community Centre
,Braddon,Ulverstone East,18 Crawford St,,Ulverstone,TAS,7315,Multipurpose room,,Assistance,,-41.15494,146.19089,East Ulverstone Primary School
,Braddon,Ulverstone South,38 Leven St,,Ulverstone,TAS,7315,Multipurpose hall,,Assistance,,-41.16199,146.17143,Ulverstone Secondary College
,Braddon,Ulverstone Central,16 King Edward St,,Ulverstone,TAS,7315,Main area,,Assistance,,-41.155037,146.171973,Ulverstone Senior Citizens Club
,Braddon,Waratah,12-14 Smith St,,Waratah,TAS,7321,Council Chambers,,Assistance,,-41.44462,145.53128,Waratah Municipal Chambers
