di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
Lee,Seaton,N,,SEATON,Seaton High School,"67-91 Glenburnie St, SEATON",,138.50648,-34.88529
Lee,Seaton Park,A,,SEATON,Seaton Park Primary School,"80 Balcombe Ave, SEATON",,138.519992,-34.895627
Lee,Seaton West,F,,SEATON,Christian Family Centre,"185 Frederick Rd, SEATON",,138.505721,-34.898056
Lee,Semaphore Park,N,,SEMAPHORE PARK,Bower Cottages,"200 Bower Rd, SEMAPHORE PARK",,138.4943365,-34.85209757
Lee,Semaphore Park South,F,,SEMAPHORE PARK,Westport Primary School,"53 West St, SEMAPHORE PARK",,138.491,-34.8549
Lee,West Lakes Shore,A,,WEST LAKES SHORE,West Lakes Shore School,"Edwin St, WEST LAKES SHORE",,138.482,-34.8637
Light,Angle Vale,A,,ANGLE VALE,Angle Vale Primary School,"Heaslip Rd, ANGLE VALE",,138.64697,-34.64345
Light,Evanston,A,,EVANSTON,Gawler & District College B-12,"Barnet Rd, EVANSTON",,138.738,-34.6198
Light,Evanston Gardens,A,,EVANSTON GARDENS,Evanston Gardens Memorial Hall,"65 Angle Vale Rd, EVANSTON GARDENS",,138.7192288,-34.62450325
Light,Evanston South,F,,EVANSTON SOUTH,Trinity College - Senior,"Alexander Ave, EVANSTON SOUTH",,138.7343204,-34.6328696
