source,lon,has_run_out,division,booth_info,premises,has_bbq,address,opening_hours,has_other,lat,state,polling_place_name,has_nothing,has_caek,polling_place_type,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
,153.030325,FALSE,Clarence,,Ulmarra Public School,FALSE,"12-14 Pacific Highway, Ulmarra, 2462",,0,-29.628869,NSW,Ulmarra Public,FALSE,FALSE,Government School,,,,,,
,147.206275,FALSE,Cootamundra,,Bland Masonic Centre,FALSE,"Court Street, West Wyalong, 2671",,0,-33.924669,NSW,Bland Masonic Cntr,FALSE,FALSE,Other,,,,,,
,150.895155,FALSE,Shellharbour,,Smiths Hill High School,TRUE,"The Citadel, Campbell Street, Wollongong, 2500",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-34.419636,NSW,Smiths Hill High,FALSE,TRUE,Government School,,,,,,
,150.803606,FALSE,Shellharbour,,St Lukes Anglican Church Hall Dapto,FALSE,"Prince Edward Drive, Dapto, 2530",,0,-34.483304,NSW,St Lukes Dapto,FALSE,FALSE,Church,,,,,,
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/67/Shellharbour-City-Centre-Anglican-Church-Shellharbour-SLSC-Sausage-sizzle/no,150.841407,FALSE,Shellharbour,,Shellharbour City Centre Anglican Church,TRUE,"25 Wallaroo Drive, Shellharbour City Centre, 2529",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-34.567179,NSW,Shellharbour City Cntr Anglican,FALSE,FALSE,Church,,,,,,
,150.854043,FALSE,Shellharbour,,Warilla Public School,FALSE,"Leawarra Avenue, Warilla, 2528",,0,-34.557036,NSW,Warilla Public,FALSE,FALSE,Government School,,,,,,
,150.86861,FALSE,Shellharbour,,Warilla Surf Life Saving Club,FALSE,"7 Osborne Parade, Warilla, 2528",,0,-34.549567,NSW,Warilla SLSC,FALSE,FALSE,Other,,,,,,
,150.858132,FALSE,Shellharbour,,Warilla High School,FALSE,"Keross Avenue, Barrack Heights, 2528",,0,-34.564989,NSW,Warilla High,FALSE,FALSE,Government School,,,,,,
,150.851783,FALSE,Shellharbour,,Warilla North Community Centre,FALSE,"2-6 Hill st, Warilla, 2528",,0,-34.547162,NSW,Warilla Nth Comm Cntr,FALSE,FALSE,Other,,,,,,
,150.920337,FALSE,Tamworth,,Tamworth West Public School,FALSE,"Denne Street, West Tamworth, 2340",,0,-31.092031,NSW,Tamworth W Public,FALSE,FALSE,Government School,,,,,,
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/92/Timbumburi-Public-School-Timbumburi-P&C-BBQ-&-Cake-Stall/no,150.916291,FALSE,Tamworth,,Timbumburi Public School,TRUE,"Kia Ora Road, Timbumburi, 2340",,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""Beef and gravy rolls, cold drinks, tea""}",-31.203606,NSW,Timbumburi Public,FALSE,TRUE,Government School,,,,,,
twitter,150.936316,FALSE,Tamworth,,Tamworth Public School,FALSE,"Napier Street, Tamworth, 2340",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-31.084525,NSW,Tamworth Public,TRUE,FALSE,Government School,,,,,,
,150.920453,FALSE,Tamworth,,Tamworth Regional Entertainment & Conference Centre (TRECC),FALSE,"Greg Norman Drive, Hillvue, 2340",,0,-31.130607,NSW,Tamworth TREC,FALSE,FALSE,Other,,,,,,
,150.872772,FALSE,Tamworth,,Westdale Public School,FALSE,"Marathon Street, Westdale, 2340",,0,-31.093803,NSW,Westdale Public,FALSE,FALSE,Government School,,,,,,
,151.343785,FALSE,Tamworth,,Woolbrook Public School,FALSE,"Church Street, Woolbrook, 2354",,0,-30.969599,NSW,Woolbrook Public,FALSE,FALSE,Government School,,,,,,
,151.603822,FALSE,Tamworth,,Walcha Central School,FALSE,"154E North Street, Walcha, 2354",,0,-30.9808349,NSW,Walcha Central,FALSE,FALSE,Government School,,,,,,
,150.651362,FALSE,Tamworth,,Werris Creek Public School,FALSE,"Anzac Parade, Werris Creek, 2341",,0,-31.349401,NSW,Werris Crk Public,FALSE,FALSE,Government School,,,,,,
,151.148495,FALSE,Tamworth,,Woolomin Public School,FALSE,"Frederick Street, Woolomin, 2340",,0,-31.301989,NSW,Woolomin Public,FALSE,FALSE,Government School,,,,,,
http://www.dailytelegraph.com.au/newslocal/central-coast/nsw-state-election-2015-where-to-vote-on-the-central-coast-and-how-to-find-those-sausage-sizzles-and-cakes/story-fngr8h0p-1227280806768,151.431339,FALSE,Terrigal,,Avoca Beach Public School,TRUE,"The Round Drive, Avoca Beach, 2251",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.470272,NSW,Avoca Beach Public,FALSE,TRUE,Government School,,,,,,
,151.079107,FALSE,Ryde,,Epping Church Of Christ,FALSE,"31 Bridge Street, Epping, 2121",,0,-33.774494,NSW,Epping Church of Christ,FALSE,FALSE,Church,,,,,,
,151.182538,FALSE,Balmain,,Royal Prince Alfred Hospital - Kerry Packer Education Centre,FALSE,"Missenden Road, Camperdown, 2050",,0,-33.888902,NSW,RPA Hospital,FALSE,FALSE,Hospital,,,,,,
,151.170381,FALSE,Balmain,,Sydney Secondary College - Balmain Campus,FALSE,"Terry Street, Rozelle, 2039",,0,-33.857544,NSW,SSC - Balmain Campus,FALSE,FALSE,Government School,,,,,,
,151.157341,FALSE,Balmain,,Leichhardt Town Hall,FALSE,"107 Norton Street, Leichhardt, 2040",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.883462,NSW,Leichhardt Town Hall,TRUE,FALSE,Hall,,,,,,
,151.167058,FALSE,Balmain,,Lilyfield Community Centre,FALSE,"19 Cecily Street, Lilyfield, 2040",,0,-33.868976,NSW,Lilyfield Comm. Cntr,FALSE,FALSE,Other,,,,,,
,151.177569,FALSE,Balmain,,Inner Sydney Montessori School,TRUE,"44 Smith Street, Balmain, 2041",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.862775,NSW,Inner City Montessori School,FALSE,TRUE,Private School,,,,,,
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/172/Kegworth-Public-School-Kegworth-Public-School/no,151.146997,FALSE,Balmain,,Kegworth Public School,TRUE,"Kegworth Street, Leichhardt, 2040",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""Drinks""}",-33.886489,NSW,Kegworth Public,FALSE,FALSE,Government School,Craft raffle,,,,,
twitter,151.192815,FALSE,Balmain,,Peter Forsyth Auditorium,FALSE,"Francis Street, Glebe, 2037",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.883318,NSW,Peter Forsyth Hall,TRUE,FALSE,Other,,,,,,
Twitter,151.170058,FALSE,Balmain,,Rozelle Public School,FALSE,"Merton Street, Rozelle, 2039",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.863076,NSW,Rozelle Public,FALSE,TRUE,Government School,,,,,,
http://www.electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/20/Nicholson-Street-Public-School-Nicho-St-Primary-Sausage-Sizzle/no,151.19319,FALSE,Balmain,,Nicholson Street Public School,TRUE,"Nicholson Street, Balmain East, 2041",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""""}",-33.855671,NSW,Nicholson St Public,FALSE,TRUE,Government School,,,,,,
,151.15899,FALSE,Balmain,,Orange Grove Public School,FALSE,"Perry Street, Lilyfield, 2040",,0,-33.872122,NSW,Orange Grove Public,FALSE,FALSE,Government School,,,,,,
,151.298828,FALSE,Pittwater,,Ted Blackwood Community Centre,FALSE,"Boondah Road, Warriewood, 2102",,0,-33.697106,NSW,Ted Blackwood Comm. Cntr,FALSE,FALSE,Other,,,,,,
,151.223413,FALSE,Pittwater,,Terrey Hills Public School,FALSE,"Myoora Road, Terrey Hills, 2084",,0,-33.685193,NSW,Terrey Hills Public,FALSE,FALSE,Government School,,,,,,
,151.286709,FALSE,Pittwater,,RSL Lifecare,FALSE,"90 Veterans Parade, Narrabeen, 2101",,0,-33.722923,NSW,RSL Lifecare,FALSE,FALSE,Other,,,,,,
,151.292047,FALSE,Pittwater,,Scotland Island Kindergarten Hall,FALSE,"Tennis Court Wharf, Scotland Island, 2105",,0,-33.637631,NSW,Scotland Is. Hall,FALSE,FALSE,Kindergarten,,,,,,
,151.319117,FALSE,Pittwater,,Palm Beach Kindergarten,FALSE,"1053 Barrenjoey Road, Palm Beach, 2108",,0,-33.602514,NSW,Palm Beach Kindy,FALSE,FALSE,Kindergarten,,,,,,
,151.303369,FALSE,Pittwater,,Pittwater High School,FALSE,"Mona Street, Mona Vale, 2103",,0,-33.668981,NSW,Pittwater High,FALSE,FALSE,Government School,,,,,,
http://electionsausagesizzle.com.au/nsw-election-2015/sausage-sizzle-map/273/Newport-Public-School-Newport-school/no,151.312752,FALSE,Pittwater,,Newport Public School,FALSE,"Stuart Street, Newport, 2106",,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",-33.660678,NSW,Newport Public,FALSE,TRUE,Government School,,,,,,
,151.322615,FALSE,Pittwater,,Newport Surf Club,FALSE,"Barrenjoey Road, Newport, 2106",,0,-33.653766,NSW,Newport SLSC,FALSE,FALSE,Other,,,,,,
,151.298841,FALSE,Pittwater,,The Lakes Parish Hall,FALSE,"21 Lagoon Street, Narrabeen, 2101",,0,-33.712791,NSW,The Lakes Parish Hall,FALSE,FALSE,Hall,,,,,,
