state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,152.953611,"Inala, Mount Ommaney",,State School,,Government School,FALSE,,,-27.570833,Darra,FALSE,FALSE,"Scotts Road, DARRA, 4076",,,,,,,
QLD,152.700976,Maryborough,,St Pauls Memorial Hall,,Church,FALSE,,,-25.538919,Maryborough,FALSE,FALSE,"Cnr Adelaide & Ellena Streets, MARYBOROUGH, 4650",,,,,,,
QLD,153.103565,"Caloundra, Kawana",,Meridan State College - Senior Learning Precinct,,Government School,FALSE,,,-26.772226,Meridan Plains,FALSE,FALSE,"214 Parklands Boulevard, MERIDAN PLAINS, 4551",,,,,,,
QLD,151.718268,Nanango,,Farmers Hall,,Hall,FALSE,,,-26.594336,Inverlaw,FALSE,FALSE,"1136 Kingaroy-Burrandown Road, INVERLAW, 4610",,,,,,,
QLD,148.595281,Whitsunday,,State School,,Government School,FALSE,,,-20.702671,Bloomsbury,FALSE,FALSE,"8545 Bruce Highway, BLOOMSBURY, 4799",,,,,,,
QLD,152.964224,"Kallangur, Morayfield",,Baptist Church,,Church,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,-27.168905,Burpengary South,FALSE,FALSE,"72 Pitt Road, BURPENGARY, 4505",,,,,,,
QLD,151.784481,Southern Downs,,Public Hall,,Hall,FALSE,,,-28.086459,Pratten,FALSE,FALSE,"101 White Street, PRATTEN, 4370",,,,,,,
QLD,153.045579,Brisbane Central,,State School,,Government School,TRUE,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@sausagesizzles,-27.460645,New Farm School,FALSE,TRUE,"Cnr James & Heal Streets, NEW FARM, 4005","Gluten free sausages, raffle",,,,,,
QLD,152.977235,"Lockyer, Logan",,State School Assembly Hall,,Government School,FALSE,,,-27.71093,Greenbank,FALSE,FALSE,"24 Goodna Road, GREENBANK, 4124",,,,,,,
QLD,153.008357,Stafford,,Queen Of Apostle School Hall,,Private School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",http://www.couriermail.com.au/questnews/north/queensland-election-2015-polling-booths-in-brisbanes-northwest/story-fni9r1kg-1227200826424,-27.405352,Stafford West,FALSE,TRUE,"70 Appleby Road, STAFFORD, 4053",,,,,,,
