polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Darlington Point,145.998993,Riverina,assisted wheelchair access,Murrumbidgee Shire Council Chambers,7 Sep 2013 8:00-18:00,FALSE,21 Carrington St DARLINGTON POINT NSW 2706,,NSW,-34.568451,FALSE,FALSE,,,,,,,,,
Nangus,147.908,Riverina,assisted wheelchair access,Nangus Public School,7 Sep 2013 8:00-18:00,FALSE,Hulong St   NANGUS NSW 2722,,NSW,-35.0535,FALSE,FALSE,,,,,,,,,
Kalgan,117.970487,O'Connor,full wheelchair access,Great Southern Grammar,7 Sep 2013 8:00-18:00,FALSE,244 Nanarup Rd KALGAN WA 6330,,WA,-34.947476,FALSE,FALSE,,,,,,,,,
Grass Patch,121.715,O'Connor,assisted wheelchair access,Grass Patch Community Hall,7 Sep 2013 8:00-18:00,FALSE,Shepherd St   GRASS PATCH WA 6446,,WA,-33.2283,FALSE,FALSE,,,,,,,,,
Gibson,121.806,O'Connor,assisted wheelchair access,Gibson Football Club,7 Sep 2013 8:00-18:00,FALSE,Starr St   GIBSON WA 6448,,WA,-33.6488,FALSE,FALSE,,,,,,,,,
Frankland,117.077,O'Connor,full wheelchair access,Frankland Hall,7 Sep 2013 8:00-18:00,FALSE,Moir St FRANKLAND WA 6396,,WA,-34.3627,FALSE,FALSE,,,,,,,,,
Kalgoorlie,121.4755,O'Connor,full wheelchair access,Goldfields Arts Centre,7 Sep 2013 8:00-18:00,FALSE,Cnr Cassidy and Cheetham St KALGOORLIE WA 6430,,WA,-30.7501,FALSE,FALSE,,,,,,,,,
Gnowangerup,118.007,O'Connor,assisted wheelchair access,Gnowangerup Memorial Hall,7 Sep 2013 8:00-18:00,FALSE,Yougenup Rd   GNOWANGERUP WA 6335,,WA,-33.9363,FALSE,FALSE,,,,,,,,,
Esperance PPVC,121.889291,O'Connor,assisted wheelchair access,Esperance Civic Centre,7 Sep 2013 8:00-18:00,FALSE,Council Pl ESPERANCE WA 6450,,WA,-33.860208,FALSE,FALSE,,,,,,,,,
Esperance,121.889,O'Connor,full wheelchair access,Esperance Civic Centre,7 Sep 2013 8:00-18:00,FALSE,Council Pl   ESPERANCE WA 6450,,WA,-33.8602,FALSE,FALSE,,,,,,,,,
