stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
"Snags, cakes, drinks",115.71171,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 12:48:40.381993+00,2017-03-08 12:48:40.381993+00,,-31.6446,East Butler Primary School P & C Association,,User-submitted,{},Public School,,,"7 Amersham Crescent, BUTLER WA 6036",Butler,East Butler Primary School,Butler,WA
Camp fundraising for Beverley DHS,116.92416,FALSE,FALSE,FALSE,TRUE,,,2017-03-09 00:53:03.737192+00,2017-03-09 00:53:03.737192+00,http://beverleydhs.wa.edu.au/uploaded_files/media/fortnightly_newsletter_23_feb_2017.pdf,-32.10917,,,,{},Community Hall,,,"142 Vincent Street, BEVERLEY WA 6304",Central Wheatbelt,Beverley Lesser Hall,Central Wheatbelt,WA
"Sausage Sizzle, Drinks, Slushies, Cake Stall & Lucky Dip to raise funds for our schools shade projects.",115.63198,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 13:16:30.996818+00,2017-03-08 13:16:30.996818+00,,-31.54344,"Snags, Cakes & Slushies!",,User-submitted,{},Public School,,,"100 Linsay Beach Blvd, YANCHEP WA 6035",Butler,Yanchep Beach Primary School,Butler,WA
,115.77537,FALSE,FALSE,FALSE,TRUE,,,2017-03-08 13:39:10.400665+00,2017-03-08 13:39:10.400665+00,,-31.84205,,Farmers market also on site!,Twitter,{},Public School,,,"39 Poynter Drive, DUNCRAIG WA 6023",Carine,Poynter Primary School,Carine,WA
"Cake stall, book stall, kids colouring in station, ",115.78725,FALSE,FALSE,TRUE,TRUE,,,2017-03-09 09:12:30.565785+00,2017-03-09 09:12:30.565785+00,,-31.84117,Davallia Primary School P&C ,,User-Submitted,"{""has_free_text"":""Book stall""}",Public School,,,"6 Juniper Way, DUNCRAIG WA 6023",Carine,Davallia Primary School,Carine,WA
,115.70505,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 23:51:45.22293+00,2017-03-10 23:51:45.22293+00,,-31.67239,,Hosted by Quinns Calisthenics,Twitter,{},Community Hall,,,"17 Tapping Way, QUINNS ROCKS WA 6030",Butler,Gumblossom Community Centre,Butler,WA
its all there,115.77091,FALSE,FALSE,TRUE,TRUE,,,2017-03-10 01:17:31.384649+00,2017-03-09 13:02:54.279568+00,,-31.83227,primary school sausage sizzle and cake,,User-Submitted,"{""has_halal"":true}",Public School,,,"21 Roche Road, DUNCRAIG WA 6023",Carine,Duncraig Primary School,Carine,WA
Sausage sizzle & cake stall,115.77588,FALSE,FALSE,TRUE,TRUE,,,2017-03-11 00:04:13.193826+00,2017-03-07 09:28:30.662548+00,,-31.87046,Karrinyup Primary School,,Twitter,{},Public School,,,"15 Hampton Street, KARRINYUP WA 6018",Carine,Karrinyup Primary School,Carine,WA
,115.59182,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 02:51:47.289121+00,2017-03-11 02:51:47.289121+00,,-31.488789,,,,{},Public School,,,"51 Resolute Drive, TWO ROCKS WA 6037",Butler,Two Rocks Primary School,Butler,WA
,115.93884,FALSE,FALSE,TRUE,TRUE,,,2017-03-11 02:53:07.727343+00,2017-03-11 02:53:07.727343+00,,-32.03749,,,Twitter,{},Public School,,,"34 Brookman Avenue, LANGFORD WA 6147",Cannington,Brookman Primary School,Cannington,WA
"Sausage Sizzle, Cold Drinks plus an appearance by Ethel, The Cream Kombi, serving Coffees and Milkshakes all day",115.71336,TRUE,FALSE,FALSE,TRUE,,,2017-03-11 05:14:02.471066+00,2017-03-08 12:41:23.987485+00,,-31.66817,Primary School Sausage Sizzle,,User-submitted,"{""has_coffee"":true}",Public School,,,"67 Baltimore Parade, MERRIWA WA 6030",Butler,Merriwa Primary School,Butler,WA
,115.91409,FALSE,TRUE,FALSE,FALSE,,,2017-03-11 06:00:09.717828+00,2017-03-11 06:00:09.717828+00,,-32.04267,,,Twitter,{},Public School,,,"9 Zelkova Road, PARKWOOD WA 6147",Cannington,Parkwood Primary School,Cannington,WA
