Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Hamilton Central,Hamilton Senior Citizens Clubroom,Voting Centre,Lowan District,,,,100,Lonsdale,Street,Hamilton,3300,73 B5,142.024527,-37.740887
Harrow,Harrow RSL Hall,Voting Centre,Lowan District,,,,,Blair,Street,Harrow,3317,54 B4,141.592195000072,-37.1664459998633
Horsham East,Horsham C.W.A. Hall,Voting Centre,Lowan District,,,,37,McPherson,Street,Horsham,3400,219 O5,142.205163,-36.713284
Jung,Jung Public Hall,Voting Centre,Lowan District,,,,28,Baker,Street,Jung,3401,40 G3,142.360365564531,-36.6069722934864
Kaniva,Kaniva Wesley Hall,Voting Centre,Lowan District,,,,20-22,Baker,Street,Kaniva,3419,541 S9,141.241210084725,-36.378638965589
Minimay,Minimay Soldiers Memorial Hall,Voting Centre,Lowan District,,,,591,Minimay Frances,Road,Minimay,3413,38 D5,141.177467000064,-36.7119499998542
Moyston,Moyston Hall,Voting Centre,Lowan District,,,,,Brooke,Street,Moyston,3377,56 E6,142.766075767925,-37.3024740318483
Murtoa,Murtoa Uniting Church Education Centre,Voting Centre,Lowan District,,,,62,McDonald,Street,Murtoa,3390,40 J3,142.470317,-36.620874
Natimuk,Natimuk Soldiers Memorial Hall,Voting Centre,Lowan District,,,,99,Main,Road,Natimuk,3409,543 R11,141.940263465465,-36.7426277137911
Netherby,Netherby Hall,Voting Centre,Lowan District,,,,5,William,Street,Netherby,3418,25 C3,141.651568000073,-36.1087219998422
Nhill,Nhill Uniting Church Hall,Voting Centre,Lowan District,,,,57,Victoria,Street,Nhill,3418,25C7,141.648618,-36.335164
Noradjuha,Noradjuha Memorial Hall,Voting Centre,Lowan District,,,,,Natimuk-Hamilton,Road,Noradjuha,3409,39 H7,141.963716783581,-36.837207429339
Patterson Park,Patterson Park Hall,Voting Centre,Lowan District,,,,194,King,Street,Hamilton,3300,73B5,142.025642283414,-37.7322380748746
Penshurst,Penshurst Memorial Hall,Voting Centre,Lowan District,,,,21,Martin,Street,Penshurst,3289,508 C3,142.289821000086,-37.8761639998775
Murra Warra,Sailors Home Hall,Voting Centre,Lowan District,,,,2537,Blue Ribbon,Road,Murra Warra,3401,26 E9,142.220353325084,-36.4705051748494
Pomonal,Pomonal Hall,Voting Centre,Lowan District,,,,3360,Halls Gap-Ararat,Road,Pomonal,3381,56 B5,142.609448071701,-37.1953716777154
Quantong,Quantong Community Centre,Voting Centre,Lowan District,,,,52,Chequer,Road,Quantong,3401,40 B6,142.026327052178,-36.7547400623985
Rainbow,Rainbow Civic Centre,Voting Centre,Lowan District,,,,15,Federal,Street,Rainbow,3424,16H8,141.99439600008,-35.897732999838
Rupanyup,Rupanyup Senior Citizens Hall,Voting Centre,Lowan District,,,,21,Dyer,Street,Rupanyup,3388,41C4,142.629417332456,-36.6319417027635
Serviceton,Serviceton Uniting Church Hall,Voting Centre,Lowan District,,,,13,Elizabeth,Street,Serviceton,3420,541 N11,140.988546,-36.376756
Tatyoon,Tatyoon Public Hall,Voting Centre,Lowan District,,,,,Tatyoon,Road,Tatyoon,3378,74 H2,142.943546858432,-37.5230788498705
Toolondo,Toolondo Recreation Reserve,Voting Centre,Lowan District,,,,2955,Natimuk-Hamilton,Road,Toolondo,3401,39 G9,141.936906548954,-36.990778521744
Warracknabeal,Warracknabeal Scout & Band Hall,Voting Centre,Lowan District,,,,45,Devereux,Street,Warracknabeal,3393,548D8,142.396735000088,-36.250257999845
Wonwondah North,Wonwondah North Public Hall,Voting Centre,Lowan District,,,,56,Wonwondah Hall,Road,Wonwondah North,3401,40 D8,142.132745958416,-36.8801628748576
Yanac,Yanac Public Hall,Voting Centre,Lowan District,,,,,Francis,Street,Yanac,3418,24 H4,141.436179000069,-36.1360109998427
Aireys Inlet,Aireys Inlet Community Centre,Voting Centre,Polwarth District,,,,6,Great Ocean,Road,Aireys Inlet,3231,525 T9,144.10827407821,-38.4560887463495
