ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Helena Valley Primary School,,"3700 Helena Valley Road, HELENA VALLEY WA 6056",-31.92468200,116.04909600,Midland,WA,None
,High Wycombe Primary School,,"60 Newburn Road, HIGH WYCOMBE WA 6057",-31.94029700,116.00279100,Forrestfield,WA,None
,Maida Vale Primary School,,"310 Kalamunda Road, MAIDA VALE WA 6057",-31.94943100,116.02287600,Forrestfield,WA,Full
,Wattle Grove Primary School,,"73 St John Road, WATTLE GROVE WA 6107",-31.99660500,115.98315400,Forrestfield,WA,Full
,Woodlupine Primary School,,"29 Solandra Way, FORRESTFIELD WA 6058",-31.98429100,116.00413500,Forrestfield,WA,Full
,Beaconsfield Primary School,,"5 Hale Street, BEACONSFIELD WA 6162",-32.069074,115.759048,Fremantle,WA,None
,Christ The King School,,"87 York Street, BEACONSFIELD WA 6162",-32.07212500,115.77335700,Fremantle,WA,Full
,East Fremantle Primary School,,"8 Forrest Street, EAST FREMANTLE WA 6158",-32.04824000,115.75961000,Fremantle,WA,None
,Fremantle District - Election Day and Early Polling Place,,"3 Josephson Street, FREMANTLE WA 6160",-32.052535,115.749760,Fremantle,WA,None
,Fremantle Primary School,,"1 Brennan Street, FREMANTLE WA 6160",-32.05863400,115.75306600,Fremantle,WA,Full
,Hilton Primary School,,"21 Rennie Crescent North , HILTON WA 6163",-32.06803000,115.78455000,Fremantle,WA,Full
,White Gum Valley Primary School,,"29 Hope Street, WHITE GUM VALLEY WA 6162",-32.05905500,115.76562200,Fremantle,WA,None
,Allendale Primary School,,"52 Wittenoom Street, GERALDTON WA 6530",-28.76407000,114.62322000,Geraldton,WA,Full
,Bluff Point Primary School,,"18 Mitchell Street, BLUFF POINT WA 6530",-28.73974000,114.62270000,Geraldton,WA,Full
,Cape Burney Volunteer Fire Brigade,,"5 Hull Street, CAPE BURNEY WA 6532",-28.86075900,114.64186600,Geraldton,WA,None
,Geraldton District - Election Day and Early Polling Place,,"Sanford Plaza Geraldton - Shop 5, 58 Durlacher Street, GERALDTON WA 6530",-28.7741243,114.6124983,Geraldton,WA,Full
,Geraldton Primary School,,"75 Fitzgerald Street, GERALDTON WA 6530",-28.77889500,114.60805500,Geraldton,WA,Full
,John Batten Drummond Cove Community Centre,,"62 Whitehill Road, DRUMMOND COVE WA 6532",-28.67039300,114.61229300,Geraldton,WA,None
,Kalbarri District High School,,"Hackney Street, KALBARRI WA 6536",-27.71251000,114.16368000,Geraldton,WA,Full
,Moonyoonooka Polocrosse Club,,"Geraldton-Mount Magnet Road, MOONYOONOOKA WA 6532",-28.78212000,114.73445000,Geraldton,WA,None
,Mount Tarcoola Primary School,,"57 Forden Street, MOUNT TARCOOLA WA 6530",-28.80037000,114.62875000,Geraldton,WA,Full
,Mullewa District High School,,"Jose Street, MULLEWA WA 6630",-28.53676000,115.51240000,Geraldton,WA,Full
,Nabawa Community Centre,,"Chapman Valley Road, NABAWA WA 6532",-28.49911300,114.79279000,Geraldton,WA,Full
,Northampton RSL Hall,,"Essex Street, NORTHAMPTON WA 6535",-28.34778800,114.63102000,Geraldton,WA,Full
,Rangeway Primary School,,"4 Cassia Street, RANGEWAY WA 6530",-28.77983000,114.62863000,Geraldton,WA,Full
