name,premises,address,lat,lon,state,wheelchair_access
Burpengary,Burpengary Community Complex,"111 Station Road, BURPENGARY, QLD Australia 4505",-27.1563105,152.9661901,QLD,Assisted Access
Burpengary South,Burpengary State Secondary College,"196 Pitt Road, BURPENGARY, QLD Australia 4505",-27.17060871,152.97736645,QLD,Full Access
Burrowes,Burrowes State School,"41-69 Third Avenue, MARSDEN, QLD Australia 4132",-27.676033,153.090721,QLD,Full Access
Burrum Heads,Burrum Heads Community Hall,"45 Howard Street, BURRUM HEADS, QLD Australia 4659",-25.1855779,152.6134619,QLD,Full Access
Buxton,Buxton Community Hall,"49 Powers Street, BUXTON, QLD Australia 4660",-25.19549797,152.53395975,QLD,Assisted Access
Caboolture,Caboolture Memorial Hall,"65 King Street, CABOOLTURE, QLD Australia 4510",-27.08441112,152.95014739,QLD,Full Access
Caboolture East,Caboolture State High School,"1-57 Lee Street, CABOOLTURE, QLD Australia 4510",-27.083358999999998,152.961409,QLD,Full Access
Caboolture West,Tullawong State High School,"22-70 Del Rosso Road, CABOOLTURE, QLD Australia 4510",-27.070249,152.929325,QLD,Full Access
Cairns City,Cairns State High School,"Cnr Sheridan & Upward Streets, Cairns North, QLD Australia 4870",-16.9169612,145.767886,QLD,Full Access
Calamvale,Calamvale Community College,"11 Hamish Street, CALAMVALE, QLD Australia 4116",-27.627031,153.043004,QLD,Full Access
Calen,Calen District State College,"38 Mcintyre Street, CALEN, QLD Australia 4798",-20.89875379,148.77003729,QLD,Full Access
Calliope,Calliope State School,"Dawson Highway, CALLIOPE, QLD Australia 4680",-24.004638999999997,151.202633,QLD,Full Access
Caloundra,CCSA Hall,"1 Nutley Street, CALOUNDRA, QLD Australia 4551",-26.802833,153.129637,QLD,Full Access
Cambooya,Cambooya State School,"6 Harrow Street, CAMBOOYA, QLD Australia 4358",-27.70906529,151.8669802,QLD,Full Access
Camira,Camira State School Hall,"184-202 Old Logan Road, CAMIRA, QLD Australia 4300",-27.622889999999998,152.915123,QLD,Full Access
Burleigh Waters,Caningeraba State School,"Whistler Drive, BURLEIGH WATERS, QLD Australia 4220",-28.08548838,153.43077779,QLD,Full Access
Cannon Hill,St Oliver Plunkett Church,"21 Beauvardia Street, CANNON HILL, QLD Australia 4170",-27.469905999999998,153.084488,QLD,Full Access
Cannonvale Beach,Whitsunday Christian College,"26 Paluma Road, Cannonvale, QLD Australia 4802",-20.28896748,148.67481619,QLD,Full Access
Canungra,Canungra State School,"5-9 Christie Street, Canungra, QLD Australia 4275",-28.01802097,153.16590428,QLD,Assisted Access
Capalaba West,Capalaba State College Junior Campus,"150 Mt Cotton Road, CAPALABA, QLD Australia 4157",-27.53617794,153.19027483,QLD,Assisted Access
Capalaba,Capalaba State College Senior Campus,"59 School Road, CAPALABA, QLD Australia 4157",-27.535811,153.195632,QLD,Assisted Access
Capella,Capella State High School,"35-45 Gordon Street, CAPELLA, QLD Australia 4702",-23.08750918,148.02987099,QLD,Assisted Access
Carbrook,Carbrook State School,"Cnr Kruger & Beenleigh-Redland Bay Roads, CARBROOK, QLD Australia 4130",-27.67807931,153.2353574,QLD,Full Access
Cardwell,Cardwell State School,"43 Victoria Street, CARDWELL, QLD Australia 4816",-18.26866137,146.03056312,QLD,Full Access
Carindale,Carina State School,"1413 Creek Road (access via Cuthred Street), CARINA, QLD Australia 4152",-27.49491031,153.10189605,QLD,Full Access
Carina Central,Carina & Districts Senior Citizens Centre,"1 Edmond Street, CARINA, QLD Australia 4152",-27.493004,153.09170899999998,QLD,Full Access
Carmila,Carmila State School,"6A Carmila West Road, CARMILA, QLD Australia 4739",-21.91270984,149.40391302,QLD,Full Access
Carole Park,Carole Park State School,"260 Waterford Road, CAROLE PARK, QLD Australia 4300",-27.60732511,152.93376446,QLD,Full Access
Carrara,Emmanuel College,"17 Birmingham Road, CARRARA, QLD Australia 4211",-28.01690571,153.37041736,QLD,Full Access
Cawarral,Cawarral State School,"125 Annie Drive, CAWARRAL, QLD Australia 4702",-23.25327399,150.67551076,QLD,Full Access
Cecil Plains,Cecil Plains State School,"41-47 Taylor Street, CECIL PLAINS, QLD Australia 4407",-27.53183496,151.19298935,QLD,Full Access
Cedar Creek,Cedar Creek State School,"1368 Beaudesert-Beenleigh Road, CEDAR CREEK, QLD Australia 4207",-27.828110991237214,153.17837154973756,QLD,Full Access
Centenary Heights North,Centenary Heights State High School,"60 Ramsay Street, CENTENARY HEIGHTS, QLD Australia 4350",-27.57980754,151.96561575,QLD,Full Access
Mount Isa,Mount Isa Central State School,"49 Miles Street, MOUNT ISA, QLD Australia 4825",-20.722922999999998,139.491795,QLD,Assisted Access
Chanel,"Chanel College, Marian Centre","11 Paterson Street, GLADSTONE, QLD Australia 4680",-23.86652046086485,151.24297499650817,QLD,Full Access
